file,loc,functions,classes,category
src/python/fods/Compat/fods_worksheet_collection.py,81,8,1,product_runtime
src/python/fods/constants.py,108,0,0,product_runtime
src/python/fods/csv_exporter.py,124,4,1,product_runtime
src/python/fods/exceptions.py,40,0,4,product_runtime
src/python/fods/fods_analytics.py,1103,30,0,product_runtime
src/python/fods/fods_analytics_extended.py,525,38,0,product_runtime
src/python/fods/fods_cell_iterator.py,34,1,0,product_runtime
src/python/fods/fods_sheet_iterator.py,27,1,0,product_runtime
src/python/fods/fods_to_tsv.py,90,2,0,product_runtime
src/python/fods/fods_workflow.py,23,1,0,product_runtime
src/python/fods/models.py,360,50,3,product_runtime
src/python/fods/neutral_model.py,711,18,0,product_runtime
src/python/fods/parser.py,475,9,0,product_runtime
src/python/fods/spec/__init__.py,14,0,0,product_runtime
src/python/fods/spec/number/__init__.py,4,0,0,product_runtime
src/python/fods/spec/number/date_style.py,23,0,1,product_runtime
src/python/fods/spec/office/__init__.py,8,0,0,product_runtime
src/python/fods/spec/office/annotation.py,28,0,1,product_runtime
src/python/fods/spec/office/automatic_styles.py,23,0,1,product_runtime
src/python/fods/spec/office/body.py,22,0,1,product_runtime
src/python/fods/spec/office/document.py,59,9,1,product_runtime
src/python/fods/spec/office/spreadsheet.py,23,0,1,product_runtime
src/python/fods/spec/style/__init__.py,4,0,0,product_runtime
src/python/fods/spec/style/style.py,23,0,1,product_runtime
src/python/fods/spec/table/__init__.py,9,0,0,product_runtime
src/python/fods/spec/table/covered_table_cell.py,27,0,1,product_runtime
src/python/fods/spec/table/table.py,26,0,1,product_runtime
src/python/fods/spec/table/table_cell.py,59,8,1,product_runtime
src/python/fods/spec/table/table_column.py,27,0,1,product_runtime
src/python/fods/spec/table/table_header_rows.py,27,0,1,product_runtime
src/python/fods/spec/table/table_row.py,23,0,1,product_runtime
src/python/fods/spec/text/__init__.py,5,0,0,product_runtime
src/python/fods/spec/text/paragraph.py,22,0,1,product_runtime
src/python/fods/spec/text/span.py,22,0,1,product_runtime
src/python/fods/writer.py,182,5,0,product_runtime
src/python/fodt/__init__.py,41,0,0,product_runtime
src/python/fodt/cli.py,45,1,0,product_runtime
src/python/fodt/Compat/__init__.py,34,0,0,product_runtime
src/python/fodt/Compat/fodt_document.py,45,4,1,product_runtime
src/python/fodt/Compat/fodt_heading.py,21,0,1,product_runtime
src/python/fodt/Compat/fodt_list.py,23,0,1,product_runtime
src/python/fodt/Compat/fodt_list_item.py,23,0,1,product_runtime
src/python/fodt/Compat/fodt_paragraph.py,22,0,1,product_runtime
src/python/fodt/Compat/fodt_span.py,21,0,1,product_runtime
src/python/fodt/Compat/fodt_table.py,23,0,1,product_runtime
src/python/fodt/Compat/fodt_table_cell.py,21,0,1,product_runtime
src/python/fodt/Compat/fodt_table_row.py,23,0,1,product_runtime
src/python/fodt/compat.py,22,0,0,product_runtime
src/python/fodt/constants.py,107,0,0,product_runtime
src/python/fodt/exceptions.py,40,0,4,product_runtime
src/python/fodt/exporters.py,132,6,0,product_runtime
src/python/fodt/fodt_document_edit.py,719,15,0,product_runtime
src/python/fodt/fodt_document_query.py,234,10,0,product_runtime
src/python/fodt/fodt_neutral_ops.py,780,18,0,product_runtime
src/python/fodt/fodt_paragraph_iterator.py,28,1,0,product_runtime
src/python/fodt/fodt_to_ndjson.py,87,1,0,product_runtime
src/python/fodt/fodt_workflow.py,24,1,0,product_runtime
src/python/fodt/list_traversal.py,92,2,0,product_runtime
src/python/fodt/models.py,295,49,3,product_runtime
src/python/fodt/neutral_model.py,285,8,0,product_runtime
src/python/fodt/parser.py,425,8,0,product_runtime
src/python/fodt/spec/__init__.py,11,0,0,product_runtime
src/python/fodt/spec/office/__init__.py,4,0,0,product_runtime
src/python/fodt/spec/office/document.py,53,8,1,product_runtime
src/python/fodt/spec/table/__init__.py,6,0,0,product_runtime
src/python/fodt/spec/table/table.py,23,4,1,product_runtime
src/python/fodt/spec/table/table_cell.py,31,6,1,product_runtime
src/python/fodt/spec/table/table_row.py,19,3,1,product_runtime
src/python/fodt/spec/text/__init__.py,8,0,0,product_runtime
src/python/fodt/spec/text/heading.py,45,8,1,product_runtime
src/python/fodt/spec/text/list_.py,23,4,1,product_runtime
src/python/fodt/spec/text/list_item.py,27,5,1,product_runtime
src/python/fodt/spec/text/paragraph.py,45,8,1,product_runtime
src/python/fodt/spec/text/span.py,31,5,1,product_runtime
