platform,format,path,extension,lines
python,fods,python/fods/fods/neutral_model.py,.py,2195
python,fods,python/fods/fods/parser.py,.py,468
python,fods,python/fods/fods/writer.py,.py,183
python,fods,python/fods/fods/__init__.py,.py,213
python,fods,python/fods/fods/fods/constants.py,.py,105
python,fods,python/fods/fods/fods/csv_exporter.py,.py,125
python,fods,python/fods/fods/fods/exceptions.py,.py,41
python,fods,python/fods/fods/fods/models.py,.py,131
python,fods,python/fods/fods/fods/neutral_model.py,.py,2195
python,fods,python/fods/fods/fods/parser.py,.py,468
python,fods,python/fods/fods/fods/writer.py,.py,183
python,fods,python/fods/fods/fods/__init__.py,.py,213
python,fodt,python/fodt/constants.py,.py,108
python,fodt,python/fodt/exceptions.py,.py,41
python,fodt,python/fodt/list_traversal.py,.py,93
python,fodt,python/fodt/models.py,.py,123
python,fodt,python/fodt/neutral_model.py,.py,2406
python,fodt,python/fodt/parser.py,.py,426
python,fodt,python/fodt/pyproject.toml,.toml,15
python,fodt,python/fodt/README.md,.md,91
python,fodt,python/fodt/writer.py,.py,306
python,fodt,python/fodt/__init__.py,.py,229
python,gnumeric,python/gnumeric/gnumeric_codec.py,.py,1863
python,gnumeric,python/gnumeric/pyproject.toml,.toml,15
python,gnumeric,python/gnumeric/README.md,.md,55
python,gnumeric,python/gnumeric/__init__.py,.py,215
python,ndjson,python/ndjson/ndjson_codec.py,.py,1772
python,ndjson,python/ndjson/pyproject.toml,.toml,15
python,ndjson,python/ndjson/__init__.py,.py,202
python,ods,python/ods/ods_csv_exporter.py,.py,173
python,ods,python/ods/ods_parser.py,.py,1660
python,ods,python/ods/ods_stats.py,.py,188
python,ods,python/ods/ods_writer.py,.py,250
python,ods,python/ods/pyproject.toml,.toml,15
python,ods,python/ods/__init__.py,.py,221
python,odt,python/odt/odt_parser.py,.py,828
python,odt,python/odt/pyproject.toml,.toml,15
python,odt,python/odt/__init__.py,.py,155
python,pbm,python/pbm/pbm_parser.py,.py,1136
