format,qname,class_name,file_path,facade_name,sal_fact_ref,source_spec,reviewer_status
pbm,pbm:header,Header,src/python/pbm/spec/bitmap/header.py,,FACT-PBM-001,structural,ACCEPTED_VERIFIED
pgm,pgm:graymap,Graymap,src/python/pgm/spec/graymap/graymap.py,,FACT-PGM-002,structural,ACCEPTED_VERIFIED
pgm,pgm:header,Header,src/python/pgm/spec/graymap/header.py,,FACT-PGM-001,structural,ACCEPTED_VERIFIED
ppm,ppm:header,Header,src/python/ppm/spec/pixmap/header.py,,FACT-PPM-001,structural,ACCEPTED_VERIFIED
ppm,ppm:pixmap,Pixmap,src/python/ppm/spec/pixmap/pixmap.py,,FACT-PPM-002,structural,ACCEPTED_VERIFIED
qoi,qoi:chunk,Chunk,src/python/qoi/spec/chunk/chunk.py,,FACT-QOI-002,structural,ACCEPTED_VERIFIED
qoi,qoi:header,Header,src/python/qoi/spec/chunk/header.py,,FACT-QOI-001,structural,ACCEPTED_VERIFIED
sylk,sylk:cell,Cell,src/python/sylk/spec/row/cell.py,,FACT-SYLK-003,structural,ACCEPTED_VERIFIED
sylk,sylk:header,Header,src/python/sylk/spec/row/header.py,,FACT-SYLK-001,structural,ACCEPTED_VERIFIED
sylk,sylk:row,Row,src/python/sylk/spec/row/row.py,,FACT-SYLK-002,structural,ACCEPTED_VERIFIED
toml,toml:key,Key,src/python/toml/spec/table/key.py,,FACT-TOML-002,structural,ACCEPTED_VERIFIED
toml,toml:table,Table,src/python/toml/spec/table/table.py,,FACT-TOML-001,structural,ACCEPTED_VERIFIED
tsv,tsv:field,Field,src/python/tsv/spec/record/field.py,,FACT-TSV-002,structural,ACCEPTED_VERIFIED
tsv,tsv:record,Record,src/python/tsv/spec/record/record.py,,FACT-TSV-001,structural,ACCEPTED_VERIFIED
xcf,xcf:header,Header,src/python/xcf/spec/layer/header.py,,FACT-XCF-001,structural,ACCEPTED_VERIFIED
xcf,xcf:layer,Layer,src/python/xcf/spec/layer/layer.py,,FACT-XCF-002,structural,ACCEPTED_VERIFIED
zst,zst:block,Block,src/python/zst/spec/frame/block.py,,FACT-ZST-002,structural,ACCEPTED_VERIFIED
zst,zst:frame,Frame,src/python/zst/spec/frame/frame.py,,FACT-ZST-001,structural,ACCEPTED_VERIFIED
